,loss,DSC,SEN,PPV,val_loss,val_DSC,val_SEN,val_PPV
0,0.9882699449857076,0.08790697902441025,0.6886298259099325,0.12384206056594849,0.989131490389506,0.6803569396336874,0.7003558079401652,0.9800007144610087
1,0.9856849114100138,0.22191908955574036,0.7199735442797343,0.25136417150497437,0.9889141718546549,0.6803568204243978,0.7003556887308756,0.9800007144610087
2,0.9798861543337504,0.47085272272427875,0.7320727308591207,0.49317023158073425,0.9884639978408813,0.680357833703359,0.7003567020098368,0.9800007144610087
3,0.9707704782485962,0.6446241537729899,0.7589692076047262,0.6630991697311401,0.9874846537907919,0.6811822255452474,0.7067254781723022,0.9604550004005432
4,0.962489386399587,0.7218722303708395,0.7667978405952454,0.7481538852055868,0.9857517679532369,0.6619248588879904,0.7064658800760905,0.9410771330197653
5,0.9549184640248617,0.7310799360275269,0.7832468748092651,0.7547594904899597,0.9826459487279257,0.6603661179542542,0.7003547350565592,0.9600109656651815
6,0.946989099184672,0.7400763034820557,0.7953422466913859,0.7662315169970194,0.9781792561213175,0.6603632569313049,0.7003530859947205,0.9537876645723978
7,0.9433109561602274,0.7454164226849874,0.7960633238156637,0.7714158296585083,0.9711558620134989,0.6797941525777181,0.7342935999234518,0.8669375975926717
8,0.9296908577283224,0.759336014588674,0.8151788512865702,0.7842392722765604,0.9573290745417277,0.7182178497314453,0.784079929192861,0.8333547314008077
9,0.93162868420283,0.7529284954071045,0.8039630254109701,0.7832054098447164,0.9349193175633749,0.7412905693054199,0.8085702260335287,0.8108643293380737
10,0.9191153645515442,0.7772575418154398,0.812759538491567,0.800837775071462,0.9319069186846415,0.7640540599822998,0.8132942716280619,0.8278810580571493
11,0.9151483376820883,0.7839654684066772,0.8134458065032959,0.8003317515055338,0.9139488538106283,0.7862208286921183,0.8297877510388693,0.8611135085423788
12,0.8959564566612244,0.8111322919527689,0.8424313267072042,0.8187291622161865,0.9044597546259562,0.8071194489796957,0.8490639130274454,0.8329329490661621
13,0.8982471028963724,0.7989644408226013,0.8306174278259277,0.8032543659210205,0.8944899837176005,0.8115841746330261,0.8633047143618265,0.8247333765029907
14,0.8963443636894226,0.8027854363123575,0.8425476749738058,0.8060568968454996,0.8960675994555155,0.7918182611465454,0.847547690073649,0.8005180954933167
15,0.8873892426490784,0.8117127021153768,0.8549575408299764,0.8123823801676432,0.880126972993215,0.8082811832427979,0.8662714163462321,0.8111590544382731
16,0.8743942777315775,0.8219218254089355,0.8537031412124634,0.8220880428949991,0.8762068152427673,0.8043265541394552,0.8630768458048502,0.8073122104008993
17,0.8559423287709554,0.8378067215283712,0.8718003034591675,0.8343854546546936,0.8752842942873637,0.7971401413281759,0.8543410301208496,0.7998157938321432
18,0.8442390958468119,0.8360424637794495,0.8712869683901469,0.8339551289876302,0.8572635849316915,0.810232937335968,0.8689216176668803,0.8120989402135214
19,0.8382051388422648,0.8041450579961141,0.8559541900952657,0.808230439821879,0.8319589694341024,0.8373658855756124,0.8897639314333597,0.8376592795054117
20,0.8339489499727885,0.7613086303075155,0.8715469439824423,0.7478668888409933,0.8943284749984741,0.7566019097963969,0.8567471106847128,0.7504629095395406
21,0.777402937412262,0.752593199412028,0.8565506140391032,0.7465658585230509,0.8637850880622864,0.7784865299860636,0.8722582459449768,0.7705663045247396
22,0.6640628973642985,0.7616151571273804,0.865294357140859,0.7566956877708435,0.8502470056215922,0.7661953767140707,0.868123730023702,0.7605544527371725
23,0.5456882119178772,0.7530209223429362,0.8644475142161051,0.7531505028406779,0.8234737515449524,0.7748900254567465,0.8710007071495056,0.7705545822779337
24,0.3787792809307575,0.7601513937115669,0.8482839465141296,0.7651695236563683,0.610095739364624,0.779444694519043,0.8464416265487671,0.7851784825325012
25,0.27558258920907974,0.7799586653709412,0.8533499240875244,0.7893884852528572,0.33307963609695435,0.8014401197433472,0.8684436082839966,0.8023025989532471
26,0.2531283497810364,0.7846362963318825,0.8491331189870834,0.7928275540471077,0.24966703355312347,0.8157837986946106,0.8714309930801392,0.8183090686798096
27,0.5000020284205675,0.5369773991405964,0.6277471259236336,0.7721317037940025,0.5413896143436432,0.49590907990932465,0.6051994562149048,0.7628516554832458
28,0.4620216377079487,0.572141245007515,0.5005829259753227,0.8768390566110611,0.4213920533657074,0.6447696089744568,0.5763557255268097,0.8764044344425201
29,0.30399980023503304,0.7216467261314392,0.691316656768322,0.8661380112171173,0.34203337132930756,0.6983020305633545,0.6486164629459381,0.877025693655014
30,0.24388051964342594,0.7748670354485512,0.7859593108296394,0.8628653213381767,0.26950703561306,0.7435490787029266,0.7287801206111908,0.8667157292366028
31,0.24016102217137814,0.7722951918840408,0.7834742218255997,0.8588865101337433,0.2457374408841133,0.7621021568775177,0.7656688690185547,0.8617494106292725
32,0.4308755472302437,0.5837849080562592,0.6420760825276375,0.7916287183761597,0.4557870328426361,0.5555345416069031,0.5774322748184204,0.8121452927589417
33,0.4534770995378494,0.5559549406170845,0.6140826791524887,0.7909657061100006,0.44376350939273834,0.5664798617362976,0.594961017370224,0.8358202874660492
34,0.43686677142977715,0.571212325245142,0.6274770200252533,0.7995732501149178,0.42645640671253204,0.5859163701534271,0.6137617528438568,0.836439847946167
35,0.3994472809135914,0.6096752621233463,0.6721362173557281,0.8080391809344292,0.4306408166885376,0.5761690437793732,0.6018564999103546,0.8239725530147552
36,0.4207710400223732,0.5878402218222618,0.63304553180933,0.8059409782290459,0.43223799765110016,0.5740469992160797,0.6023552119731903,0.8235224783420563
37,0.4219294674694538,0.5849494263529778,0.6431603953242302,0.8076985403895378,0.42383988201618195,0.5831369757652283,0.6075802147388458,0.8378235697746277
38,0.4225514456629753,0.5842543616890907,0.6300850808620453,0.808941014111042,0.4388294517993927,0.5665396451950073,0.5863541960716248,0.827946811914444
39,0.41299670562148094,0.5938676297664642,0.6366731226444244,0.8087156116962433,0.48940473794937134,0.5363369286060333,0.5676180124282837,0.8095239102840424
40,0.21244535967707634,0.7902187183499336,0.8022885546088219,0.856304258108139,0.19543561339378357,0.808670312166214,0.8408428132534027,0.8411336541175842
41,0.21310977451503277,0.7894862741231918,0.8194921985268593,0.8520069792866707,0.190140500664711,0.8116301000118256,0.8585132360458374,0.8374770879745483
42,0.22613844648003578,0.7764222472906113,0.8054613620042801,0.8496707454323769,0.17867589741945267,0.8237516283988953,0.864512711763382,0.8483992516994476
43,0.20300414599478245,0.7996474653482437,0.825733408331871,0.8592895045876503,0.17021150887012482,0.8320661783218384,0.8725904226303101,0.8564169406890869
44,0.19424567557871342,0.8089812397956848,0.8418710008263588,0.8581202328205109,0.1691390872001648,0.8329976499080658,0.8749966025352478,0.8579741418361664
45,0.20049009378999472,0.8025344759225845,0.8322796449065208,0.8613299205899239,0.16730740666389465,0.8351870179176331,0.8605441153049469,0.871603786945343
46,0.19522201735526323,0.8072398975491524,0.839646115899086,0.8547889515757561,0.16876696795225143,0.8342005610466003,0.8744802474975586,0.8562686741352081
47,0.19465989526361227,0.8080675080418587,0.8403718918561935,0.8621146306395531,0.16890177130699158,0.8339263498783112,0.878452479839325,0.8530451953411102
48,0.19998532813042402,0.8022666350007057,0.8323419019579887,0.8621243461966515,0.17143291980028152,0.8333570063114166,0.8671178221702576,0.8638183176517487
49,0.18925718404352665,0.8136249408125877,0.8501942232251167,0.8601563349366188,0.16604046523571014,0.8365544378757477,0.8674800097942352,0.8683346211910248
50,0.2038986999541521,0.7990610301494598,0.8277164474129677,0.8693597167730331,0.16251986473798752,0.8395470380783081,0.8762745559215546,0.8640631437301636
51,0.17431110702455044,0.8283976688981056,0.8600743636488914,0.8666153252124786,0.15581416338682175,0.8461800515651703,0.8698282837867737,0.8828426897525787
52,0.20265944488346577,0.7996834367513657,0.8316545933485031,0.8698719665408134,0.1579875461757183,0.843685120344162,0.8791012167930603,0.8707997798919678
53,0.19056116230785847,0.8119349703192711,0.8496380522847176,0.8679748550057411,0.16443417593836784,0.8367931544780731,0.8634446561336517,0.8691853880882263
